LOWBID	DOTEST	LBERATIO	STATUS	DISTRICT	NUMIDS	DAYSEST	RDLNGTH	PCTASPH	PCTBASE	PCTEXCAV	PCTMOBIL	PCTSTRUC	PCTTRAF	SUBCONT
170418	196749	0.86617	0	5	3	75	0.9358	0.000000	0.000000	0.012317	0.000000	0.016166	0.00000	*
35184	39211	0.89729	0	1	3	45	0.5000	0.279275	0.453965	0.097516	0.105161	0.000000	0.02132	0
2280814	2823874	0.80769	0	4	8	330	0.0000	0.135058	0.108671	0.396403	0.025430	0.174975	0.01251	0
45910	61892	0.74178	0	1	8	60	0.0528	0.000000	0.000000	0.000000	0.023960	0.952080	0.02396	0
1370060	1377924	0.99429	0	2	7	400	3.2000	0.185279	0.216274	0.350158	0.028648	0.130709	0.02384	0
1404080	1573830	0.89214	0	5	7	550	0.0000	0.136778	0.168610	0.208671	0.069084	0.186423	0.01409	0
1691658	1627076	1.03969	0	5	5	600	0.1173	0.159384	0.065959	0.052611	0.371547	0.018449	0.00000	*
391466	358532	1.09186	1	5	3	100	6.4000	0.831470	0.000000	0.040514	0.020436	0.000000	0.04067	0
392693	490546	0.80052	0	1	9	180	2.2000	0.117486	0.124335	0.158905	0.073085	0.384882	0.01910	0
166799	131994	1.26369	1	5	3	120	1.1000	0.409836	0.067221	0.345120	0.044964	0.025180	0.07527	0
6043307	7074987	0.85418	0	4	11	350	0.1721	0.141767	0.356064	0.041368	0.195504	0.000827	0.00000	*
1928448	1766358	1.09177	1	1	2	190	0.6000	0.038295	0.057806	0.433083	0.070004	0.262650	0.03532	0
207868	167994	1.23735	1	1	4	60	0.2000	0.197244	0.000000	0.256642	0.086594	0.002511	0.18816	0
299872	247036	1.21388	1	1	3	80	0.0000	0.154754	0.366022	0.245375	0.027345	0.016854	0.16115	0
169380	144508	1.17211	0	1	3	145	0.2000	0.130732	0.182309	0.062051	0.077931	0.116072	0.04853	0
418159	378404	1.10506	1	1	2	150	0.3171	0.153425	0.068871	0.056199	0.169287	0.085613	0.00000	*
142371	106687	1.33447	1	1	2	90	0.0000	0.421256	0.000000	0.064923	0.076561	0.128965	0.10058	0
116565	125849	0.92623	0	1	3	80	0.2000	0.243657	0.155657	0.109164	0.130400	0.049702	0.08090	0
988038	1003838	0.98426	1	1	2	180	0.1627	0.078240	0.046687	0.050605	0.023657	0.026841	0.00000	*
1135708	1078715	1.05283	1	1	2	250	0.0000	0.178547	0.040129	0.095870	0.060315	0.233473	0.04306	0
462392	444187	1.04099	0	1	4	120	0.0000	0.445212	0.137660	0.024504	0.080667	0.214234	0.05312	1
3815884	4960817	0.76920	0	1	4	450	2.4000	0.101917	0.125421	0.405584	0.040882	0.185300	0.00000	0
2518387	3124385	0.80604	0	4	12	255	6.2000	0.301729	0.184488	0.234085	0.007147	0.174870	0.00834	0
637988	627411	1.01686	0	2	4	140	1.9000	0.144931	0.324964	0.213332	0.019593	0.175887	0.08119	0
1138537	1254624	0.90747	0	2	13	200	4.6000	0.406209	0.273866	0.143506	0.008344	0.088016	0.00928	0
580524	675408	0.85952	0	2	9	225	1.6000	0.098524	0.035033	0.148762	0.008613	0.279297	0.00978	0
445519	435034	1.02410	0	2	7	150	0.8000	0.114077	0.116595	0.194726	0.017957	0.291862	0.04817	0
2966283	4433467	0.66907	0	5	4	720	0.0000	0.131603	0.158847	0.134914	0.005057	0.311195	0.03009	1
5734417	5427308	1.05659	0	1	8	700	5.0000	0.145159	0.195402	0.315629	0.017439	0.227668	0.00698	0
5884703	6097409	0.96512	0	1	7	900	4.1000	0.139307	0.238855	0.302989	0.005438	0.182351	0.00353	0
1217569	1341081	0.90790	0	2	11	350	2.0000	0.142159	0.131608	0.175051	0.012320	0.269048	0.03389	0
2229343	2434603	0.91569	0	2	6	450	0.2102	0.144600	0.121980	0.015700	0.282224	0.026821	0.00000	*
168532	163669	1.02971	0	2	8	30	0.9763	0.000000	0.000000	0.011867	0.000000	0.011867	0.00000	*
95857	95630	1.00238	0	2	8	30	0.9583	0.000000	0.000000	0.026080	0.000000	0.015648	0.00000	*
106918	107895	0.99094	0	2	7	30	0.9348	0.000000	0.000000	0.028059	0.003741	0.028994	0.00000	*
666773	641521	1.03936	0	2	5	240	0.0000	0.492985	0.054745	0.232318	0.007499	0.111355	0.04499	0
